ParticipantID,Condition,Trial,TargetID,Target_Position_X,Target_Position_Y,Target_Position_Z,Selection_Position_X,Selection_Position_Y,Selection_Position_Z,GripperTip_Position_X,GripperTip_Position_Y,GripperTip_Position_Z,Gripper_Position_X,Gripper_Position_Y,Gripper_Position_Z,Distance_Tip_to_Disk,Timestamp,Unnamed: 18
23,C_HumanVertical,2,0,0.2249999,0.558,0.9000006,0.2100847,0.5829521,0.9000005,0.2100853,0.5829517,0.8362882,0.2082152,0.585517,0.7233328,0.06371234,202404111451168382,
23,C_HumanVertical,2,5,-0.2158861,0.6213899,0.9000004,-0.2403938,0.6234418,0.9000003,-0.2403931,0.6234414,0.8088823,-0.1884641,0.629072,0.708679,0.09111802,202404111451204705,
23,C_HumanVertical,2,10,0.1892818,0.4363558,0.9000005,0.1645213,0.449144,0.9000005,0.1645218,0.4491437,0.8186215,0.172923,0.4791387,0.7099993,0.081379,202404111451238209,
23,C_HumanVertical,2,4,-0.147344,0.7280437,0.9000004,-0.1627355,0.7420371,0.8997267,-0.1627357,0.7420371,0.7997813,-0.1218632,0.7255983,0.6957227,0.09994537,202404111451272325,
23,C_HumanVertical,2,9,0.09346815,0.3533328,0.9000005,0.07522784,0.3290838,0.9000005,0.07522832,0.3290834,0.8352973,0.09775651,0.3720004,0.7332209,0.06470318,202404111451316876,
23,A_Baseline,1,3,-0.03202109,0.7807099,0.9000005,-0.05358334,0.771987,0.8998466,-0.05358353,0.7719868,0.8005459,-0.02437337,0.7413403,0.695777,0.09930073,202404111453562812,
23,A_Baseline,1,8,-0.03202107,0.3352903,0.9000004,-0.02426682,0.3595405,0.9000005,-0.02426629,0.3595401,0.8488686,0.01286811,0.3904327,0.7467133,0.05113181,202404111454017836,
23,A_Baseline,1,2,0.09346813,0.7626672,0.9000005,0.07520393,0.7654646,0.8996769,0.07520362,0.7654644,0.7996963,0.09065604,0.731105,0.6931614,0.09998053,202404111454109845,
23,A_Baseline,1,7,-0.1473439,0.3879564,0.9000004,-0.1431811,0.4122304,0.9000003,-0.1431805,0.41223,0.8349216,-0.08939673,0.4335806,0.7378625,0.06507875,202404111454189411,
23,A_Baseline,1,1,0.1892818,0.6796442,0.9000006,0.1862996,0.7043567,0.9000005,0.1863002,0.7043563,0.8023278,0.1910026,0.6760491,0.6930318,0.09767274,202404111454280016,
