pid,condition,tlx_item,tlx_score
22,HumanHorizontal,Temporal Demand,3.0
22,HumanHorizontal,Performance,3.0
22,HumanHorizontal,Effort,4.0
22,HumanHorizontal,Frustration,3.0
22,Baseline,Mental Demand,7.0
22,Baseline,Physical Demand,5.0
22,Baseline,Temporal Demand,3.0
22,Baseline,Performance,2.0
22,Baseline,Effort,3.0
22,Baseline,Frustration,2.0
22,HumanVertical,Mental Demand,4.0
22,HumanVertical,Physical Demand,2.0
22,HumanVertical,Temporal Demand,3.0
22,HumanVertical,Performance,18.0
22,HumanVertical,Effort,3.0
22,HumanVertical,Frustration,3.0
23,RobotHorizontal,Mental Demand,18.0
23,RobotHorizontal,Physical Demand,14.0
23,RobotHorizontal,Temporal Demand,5.0
23,RobotHorizontal,Performance,7.0
23,RobotHorizontal,Effort,14.0
23,RobotHorizontal,Frustration,12.0
23,HumanHorizontal,Mental Demand,10.0
23,HumanHorizontal,Physical Demand,7.0
23,HumanHorizontal,Temporal Demand,2.0
23,HumanHorizontal,Performance,1.0
23,HumanHorizontal,Effort,1.0
23,HumanHorizontal,Frustration,2.0
23,HumanVertical,Mental Demand,1.0
23,HumanVertical,Physical Demand,2.0
23,HumanVertical,Temporal Demand,1.0
23,HumanVertical,Performance,20.0
23,HumanVertical,Effort,1.0
23,HumanVertical,Frustration,1.0
23,Baseline,Mental Demand,2.0
23,Baseline,Physical Demand,1.0
23,Baseline,Temporal Demand,1.0
23,Baseline,Performance,1.0
23,Baseline,Effort,2.0
23,Baseline,Frustration,1.0
24,RobotHorizontal,Mental Demand,12.0
24,RobotHorizontal,Physical Demand,20.0
24,RobotHorizontal,Temporal Demand,4.0
24,RobotHorizontal,Performance,3.0
24,RobotHorizontal,Effort,16.0
24,RobotHorizontal,Frustration,12.0
24,HumanVertical,Mental Demand,11.0
24,HumanVertical,Physical Demand,14.0
24,HumanVertical,Temporal Demand,1.0
24,HumanVertical,Performance,1.0
24,HumanVertical,Effort,11.0
24,HumanVertical,Frustration,9.0
24,HumanHorizontal,Mental Demand,11.0
24,HumanHorizontal,Physical Demand,14.0
24,HumanHorizontal,Temporal Demand,1.0
24,HumanHorizontal,Performance,3.0
24,HumanHorizontal,Effort,8.0
24,HumanHorizontal,Frustration,5.0
24,Baseline,Mental Demand,8.0
24,Baseline,Physical Demand,13.0
24,Baseline,Temporal Demand,1.0
24,Baseline,Performance,2.0
24,Baseline,Effort,16.0
24,Baseline,Frustration,14.0
